Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
sorghum,131,488.80107605457306,0.4248910557675953,0.7271962706651288,0.9815451478982876,124,100,46,2.8284271247461903
sorghum,132,417.16146838665014,0.4381986781271899,0.7742937853107345,0.9745777777777778,148,122,64,19.723082923316017
sorghum,133,447.5878738164902,0.3492276364178634,0.7695451843043996,0.9619582888197316,113,91,45,19.723082923316017
sorghum,134,443.7888835668564,0.5046858806484683,0.7060827250608273,0.9752163320171384,141,118,67,15.556349186104045
sorghum,135,460.9015818834305,0.4802349786131662,0.7398373983739838,0.977542521309306,124,106,56,16.1245154965971
sorghum,136,466.8010771274567,0.4631736378956186,0.7256704283460745,0.97433913078897,112,96,55,12.727922061357855
sorghum,137,482.55843603610987,0.2858254451585123,0.7214543269230769,0.9634831460674156,119,94,54,14.212670403551895
sorghum,138,495.2447288036346,0.42131015270834776,0.7427563618039809,0.9763205828779599,125,102,57,15.556349186104045
sorghum,139,476.75944662094116,0.3012922871071579,0.7106199770378875,0.9635712617731766,148,125,73,17.677669529663692
sorghum,140,468.7594475746155,0.4236360482863145,0.738508570804673,0.9761166029295044,130,108,61,16.97056274847714
sorghum,141,446.6173117160797,0.6210585589271338,0.7588620013080445,0.9718976420823386,127,105,56,15.652475842498527
sorghum,142,483.2447279691696,0.392052868739018,0.7536507610037022,0.9825702218944828,142,120,72,8.48528137423857
sorghum,143,476.1320301294327,0.6037760443135902,0.7439818082019917,0.9436570689740912,119,94,45,8.602325267042627
sorghum,144,449.6883790493012,0.580121223316486,0.7406378836463582,0.9813360646409468,128,108,59,17.804493814764854
